Star	Teff	eTeff	logg	elogg	Fe/H	eFe/H	Radius	erRadius	E(B-V)	Distance
----	----	-----	----	-----	-----	-----	------	--------	------	---------
55 Cnc	5353	62	4.3	0.14	0.3	0.04	0.941	0.010	0.043	12.6
DE Boo	5289	70	4.27	0.14	0.03	0.05	0.863	0.016	0.04	11.6
GJ176	3355	110	4.79	0.13	-0.01	0.09	0.394	0.018	0.015	9.5
HAT-P-17	5332	55	4.45	0.13	0.05	0.03	0.868	0.005	0.034	92.4
HD 136352	5664	61	4.39	0.11	-0.34	0.04	1.054	0.014	0.010	14.7
HD 176986	4931	77	4.44	0.17	0.03	0.05	0.805	0.013	0.024	27.9
HD 209458	6118	25	4.5	0.04	0.03	0.02	1.188	0.013	0.03	48.1
HD 215152	4803	52	4.26	0.15	-0.08	0.02	0.775	0.006	0.018	21.6
HD 219134	4767	70	4.32	0.17	0	0.04	0.816	0.007	0.021	6.5
HD 49674	5662	28	4.42	0.05	0.3	0.02	1.022	0.009	0.028	42.9
HD128582	6168	29	4.17	0.08	0.098	0.09	1.63	0.026	0.008	34.0
HD5806	6050	62	4.32	0.02	0.113	0.042	1.242	0.01	0.023	70.5
HD95338	5097	77	4.26	0.14	0.08	0.05	0.868	0.006	0.014	37.0
HIP 41378	6371	65	4.07	0.11	0.046	0.044	1.299	0.008	0.021	106.0
K2-138	5275	67	4.51	0.03	0.06	0.05	0.845	0.006	0.022	202.3
K2-158	5441	67	4.46	0.03	0.06	0.05	0.94	0.009	0.022	196.2
K2-287	5625	64	4.32	0.11	0.27	0.04	1.108	0.010	0.205	156.8
KELT-6	6246	88	4.22	0.09	-0.22	0.06	1.643	0.016	0.021	243.5
TIC130843507	5953	81	4.4	0.03	-0.18	0.06	1.041	0.009	0.017	163.6
TIC182992572	4801	73	4.55	0.04	-0.34	0.04	0.715	0.005	0.022	64.9
TIC209464063	5485	63	4.34	0.11	0	0.01	0.938	0.007	0.0	164.0
TIC393546540	5267	63	4.42	0.11	-0.036	0.042	0.82	0.005	0.0	66.0
TIC466693177	6153	66	4.26	0.02	0.14	0.05	1.382	0.011	0.023	117.4
TOI-1130	4360	108	4.55	0.07	0.11	0.1	0.697	0.011	0.07	58.4
TOI-1203	5737	62	4.34	0.1	-0.39	0.04	1.179	0.011	0.014	65.0
TOI-1471	5634	61	4.41	0.11	-0.065	0.04	0.962	0.008	0.02	67.3
TOI-1797	5987	64	4.49	0.11	0.102	0.04	1.043	0.009	0.0	12.1506
TOI-2350	5481	150	4.45	0.1	0.32	0.07	1.052	0.028	0.005	Nan
TOI-2494	5361	67	4.48	0.03	0.13	0.05	0.886	0.006	0.015	154.6
TOI-261	6053	62	4.34	0.02	-0.09	0.04	1.164	0.01	0.0	113.6
TOI-411	6169	64	4.47	0.11	-0.08	0.04	1.117	0.009	0.017	62.9
TOI-4191	5751	64	4.31	0.03	-0.24	0.04	1.123	0.011	0.014	83.7
TOI-4317	4544	70	4.54	0.06	0.18	0.09	0.781	0.009	0.031	67.3
TOI-4361	5940	62	4.3	0.02	0.04	0.04	1.235	0.011	0.019	98.4
TOI-461	4757	89	4.49	0.05	0.02	0.04	0.762	0.005	0.017	45.7
TOI-4629	5970	74	4.35	0.03	-0.03	0.05	1.128	0.011	0.015	Nan
TOI-5493	6015	76	4.41	0.03	-0.106	0.053	1.051	0.007	0.015	Nan
TOI-5696	5270	66	4.52	0.03	-0.1	0.044	0.82	0.005	0.014	Nan
TOI-815	4869	77	4.51	0.04	-0.09	0.05	0.77	0.009	0.015	59.4
TOI2076	5200	68	4.45	0.12	-0.09	0.04	0.77	0.006	0.047	42.0
WASP-106	6265	36	4.38	0.04	0.15	0.03	1.468	0.014	0.039	359.4
WASP-130	5667	34	4.43	0.05	0.31	0.03	1.049	0.01	0.047	174.5
WASP-3	6448	123	4.49	0.08	-0.02	0.08	1.335	0.01	0.047	230.7
WASP-38	6436	60	4.8	0.07	0.06	0.04	1.483	0.013	0.079	136.3
WASP-8	5690	36	4.42	0.15	0.29	0.03	1.045	0.026	0.085	90.0
WASP-84	5221	72	4.28	0.13	0.05	0.05	0.828	0.005	0.020	100.4
