Star,Expected_Radius,e_Expected_Radius,Computed_Radius,e_Computed_Radius
11 UMi,25.076,0.822,26.679,3.203
14 And,11.101,0.364,12.554,0.656
14 Her,1.022,0.033,0.979,0.040
16 Cyg B,1.151,0.038,1.226,0.051
11 Com,17.168,0.562,16.716,2.632
18 Del,7.670,0.251,8.274,0.473
24 Sex,4.974,0.163,4.990,0.227
30 Ari B,1.412,0.046,1.440,0.058
38 Vir,1.444,0.047,1.470,0.052
4 Uma,15.012,0.492,16.792,1.226
42 Dra,17.828,0.584,18.585,1.290
47 Uma,1.230,0.040,1.231,0.055
51 Peg,1.156,0.038,1.179,0.053
55 Cnc,0.901,0.030,0.929,0.046
6 Lyn,5.092,0.167,5.276,0.285
61 Vir,1.027,0.034,1.081,0.044
70 Vir,1.983,0.065,1.919,0.112
75 Cet,9.901,0.324,9.693,0.596
8 Umi,9.757,0.320,10.125,0.372
81 Cet,10.900,0.357,11.503,0.759
91 Aqr,10.905,0.357,11.180,0.688
BD-06 1339,0.478,0.016,0.603,0.041
BD-08 2823,0.737,0.024,0.745,0.040
BD-10 3166,0.932,0.031,0.919,0.037
BD-11 4672,0.452,0.015,1.118,0.123
BD-17 63,0.934,0.031,0.759,0.038
BD+14 4559,0.841,0.028,0.883,0.048
BD+15 2375,9.917,0.325,10.166,0.402
BD+15 2940,10.504,0.344,10.362,0.411
BD+20 2457,35.132,1.151,37.594,19.462
BD+20 274,29.473,0.966,35.949,3.987
BD+24 4697,0.805,0.026,0.777,0.034
BD+26 1888,0.703,0.023,0.659,0.029
BD+48 738,24.454,0.801,25.183,10.910
BD+49 828,8.092,0.265,10.917,0.998
beta Cnc,41.827,1.370,9.244,12.523
CoRoT-19,1.046,0.034,1.930,0.107
K2-38,0.980,0.032,1.154,0.045
eps CrB,22.788,0.747,14.970,8.855
GJ 1214,0.189,0.006,0.956,0.567
GJ 160.2,0.513,0.017,0.634,0.035
GJ 163,0.353,0.012,0.400,0.023
GJ 176,0.382,0.013,0.568,0.033
GJ 180,0.395,0.013,0.415,0.017
GJ 3998,0.525,0.017,0.552,0.028
GJ 536,0.433,0.014,0.527,0.026
GJ 785,0.934,0.031,0.896,0.057
CoRoT-7,0.823,0.027,1.511,0.221
CoRoT-8,0.593,0.019,0.871,0.037
CoRoT-9,0.799,0.026,1.211,0.095
K2-36,0.702,0.023,0.740,0.024
HD 100655,10.122,0.332,9.940,0.551
HD 100777,1.067,0.035,1.060,0.034
HD 10180,1.191,0.039,1.211,0.048
HD 102195,0.850,0.028,0.837,0.032
HD 102329,8.611,0.282,9.008,0.406
HD 102956,4.492,0.147,4.490,0.154
HD 103720,0.826,0.027,0.802,0.026
HD 104067,0.810,0.027,0.801,0.033
HD 10442,5.015,0.164,5.106,0.173
HD 104985,10.678,0.350,11.185,0.724
HD 106252,1.132,0.037,1.152,0.036
HD 106270,2.904,0.095,3.081,0.109
HD 106315,1.177,0.039,1.246,0.046
HD 10647,1.105,0.036,1.121,0.047
HD 106515 A,1.026,0.034,0.983,0.036
HD 10697,1.805,0.059,1.869,0.091
HD 107148,1.168,0.038,1.153,0.038
HD 108147,1.236,0.040,1.997,0.303
HD 108863,6.753,0.221,6.892,0.269
HD 108874,1.099,0.036,1.090,0.040
HD 109246,1.101,0.036,1.143,0.036
HD 109271,1.271,0.042,1.342,0.051
HD 109749,1.256,0.041,1.350,0.061
HD 110014,20.300,0.665,20.331,1.484
HD 111232,0.992,0.032,1.073,0.068
