Star,Expected_Radius,e_Expected_Radius,Computed_Radius,e_Computed_Radius,Extinction_Radius,e_Extinction_Radius,Extinction_0_Radius,e_Extinction_0_Radius
55 Cnc,0.941,0.010,0.954,0.035,1.343,1.185,0.921,0.034
DE Boo,0.863,0.016,0.887,0.032,2.382,1.418,0.859,0.033
GJ176,0.394,0.018,0.536,0.596,2.050,0.722,0.519,0.309
HAT-P-17,0.868,0.005,0.877,0.024,0.322,0.134,0.860,0.023
HD 136352,1.054,0.014,1.110,0.042,0.814,0.931,1.100,0.031
HD 176986,0.805,0.013,0.813,0.026,1.999,0.414,0.804,0.028
HD 209458,1.188,0.013,1.201,0.036,1.930,0.436,1.174,0.031
HD 215152,0.775,0.006,0.783,0.029,1.826,0.285,0.777,0.022
HD 49674,1.022,0.009,1.035,0.029,1.898,0.404,1.013,0.027
HD128582,1.630,0.026,1.635,0.046,4.753,0.935,1.648,0.047
HD5806,1.242,0.010,1.263,0.042,1.500,0.310,1.251,0.036
HD95338,0.868,0.006,0.877,0.027,1.524,0.320,0.880,0.028
HIP 41378,1.299,0.008,1.326,0.048,0.958,0.384,1.309,0.041
K2-287,1.108,0.010,1.101,0.025,0.208,0.114,0.977,0.031
KELT-6,1.643,0.016,1.700,0.053,0.309,0.199,1.660,0.050
TIC130843507,1.041,0.009,1.066,0.035,0.224,0.119,1.047,0.026
TIC182992572,0.715,0.005,0.719,0.024,0.378,0.174,0.707,0.026
TIC209464063,0.938,0.007,0.941,0.024,0.159,0.096,0.947,0.022
TIC393546540,0.820,0.005,0.824,0.027,0.645,0.291,0.825,0.020
TOI-1203,1.179,0.011,1.208,0.036,1.522,0.429,1.183,0.036
TOI-1797,1.043,0.009,1.042,0.033,0.825,0.231,1.038,0.026
TIC466693177,1.382,0.011,1.411,0.044,0.854,0.351,1.381,0.045
TOI-1130,0.697,0.011,0.689,0.027,0.301,0.134,0.686,0.025
TOI-1471,0.962,0.008,0.978,0.035,0.857,0.365,0.969,0.030
TOI-2494,0.886,0.006,0.904,0.027,0.151,0.074,0.887,0.025
TOI-261,1.164,0.010,1.179,0.033,0.594,0.220,1.172,0.037
TOI-411,1.117,0.009,1.142,0.034,1.649,0.426,1.129,0.034
TOI-4191,1.123,0.011,1.153,0.040,0.854,0.345,1.134,0.035
TOI-4317,0.781,0.009,0.751,0.030,0.314,0.205,0.742,0.022
TOI-4361,1.235,0.011,1.246,0.042,0.842,0.312,1.240,0.036
TOI-461,0.762,0.005,0.772,0.023,0.782,0.285,0.770,0.024
TOI-815,0.770,0.009,0.781,0.026,0.544,0.279,0.774,0.024
TOI2076,0.770,0.006,0.785,0.025,1.060,0.274,0.773,0.022
WASP-130,1.049,0.010,1.038,0.033,0.168,0.099,1.026,0.029
WASP-3,1.335,0.010,1.379,0.053,0.228,0.123,1.334,0.045
WASP-38,1.483,0.013,1.502,0.047,0.694,0.270,1.418,0.037
WASP-8,1.045,0.026,1.015,0.036,0.620,0.267,0.972,0.032
WASP-84,0.828,0.005,0.837,0.024,0.244,0.135,0.834,0.023
